name,skills,experienceLevel,workload,email
Employee_79,"Kotlin,Ktor",Junior,2,employee79@example.com
Employee_80,"C++,Unreal Engine",Mid,3,employee80@example.com
Employee_81,"Java,Vert.x",Junior,0,employee81@example.com
Employee_82,"Python,SciPy",Mid,1,employee82@example.com
Employee_83,"React,Tailwind CSS",Senior,2,employee83@example.com
Employee_84,"Docker,Ansible",Junior,3,employee84@example.com
Employee_85,"Angular,Ionic",Mid,0,employee85@example.com
Employee_86,"Node.js,AdonisJS",Senior,1,employee86@example.com
Employee_87,"Django,Celery",Junior,2,employee87@example.com
Employee_88,"Spring,Spring Security",Mid,3,employee88@example.com
Employee_89,"Azure,AKS",Senior,0,employee89@example.com
Employee_90,"Kubernetes,Kustomize",Junior,1,employee90@example.com
Employee_91,"AWS,Fargate",Mid,2,employee91@example.com
Employee_92,"GCP,Cloud Functions",Senior,3,employee92@example.com
Employee_93,"SQL,Stored Procedures",Junior,0,employee93@example.com
Employee_94,"MongoDB,MongoDB Charts",Mid,1,employee94@example.com
Employee_95,"PostgreSQL,Triggers",Senior,2,employee95@example.com
Employee_96,"Redis,Stream Processing",Junior,3,employee96@example.com
Employee_97,"Flutter,Provider",Mid,0,employee97@example.com
Employee_98,"Swift,Metal",Senior,1,employee98@example.com
Employee_99,"Kotlin,Coroutines",Junior,2,employee99@example.com
Employee_100,"C++,OpenGL",Mid,3,employee100@example.com
